,longitude,latitude,gravity,traffic,apartments,cinemas,clinics,colleges,communityCentres,conferenceCentres,dentists,eventsVenues,fastFoods,hospitals,hotels,leisureFitnessCentres,leisureStadiums,motorwayLinks,motorways,parkings,placesOfWorship,restaurants,shopMalls,shopSupermarkets,sportsCentres,sportsHalls,stadiums,substationMinorDistributions,theatres,universities
69,9.37451,54.9369,976.556,21.5384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.521,0.0,0.0,0.0,0.0,551.458,55.0381,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,8.58381,56.4869,14347.1,0.0,429.783,108.837,53.7182,0.0,62.5037,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,33.6098,0.0,0.0,0,135.025,101.706,0.0,5921.91,0.0,0.0,0.0,0.0,0.0,0.0
71,8.58928,55.5246,1517.75,10.4558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.43,14.8637,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,8.30279,56.5497,7286.2,0.710518,2171.4,126.537,0.0,0.0,214.474,73.8244,0.0,0.0,0.0,67.2629,0.0,0.0,0.0,0.0,0.0,0,1670.5,2742.64,0.0,218.866,0.0,0.0,0.0,0.0,0.0,0.0
73,9.74208,56.8436,4277.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.13,500.209,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,9.99505,57.4565,14574.4,185.215,1668.7,0.0,0.0,0.0,217.584,0.0,3998.42,0.0,556.523,85.834,0.0,106.542,406.695,0.0,0.0,0,565.548,3150.17,834.613,2445.22,0.0,0.0,0.0,0.0,193.57,159.774
75,9.90386,57.0224,7492.54,6.32032,6308.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.40892,0,318.508,730.058,0.0,122.39,0.0,0.0,0.0,0.0,0.0,0.0
76,8.96735,56.1567,467.042,15.9239,40.3309,0.0,364.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46.6571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,11.5153,54.7765,4699.67,0.0,447.026,0.0,0.0,0.0,0.0,0.0,0.0,52.4964,0.0,0.0,0.0,0.0,197.03,0.0,8.98828,0,304.788,136.167,0.0,3553.17,0.0,0.0,0.0,0.0,0.0,0.0
78,8.49344,55.6105,6989.77,0.0,44.764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.07,39.685,0.0,3060.89,0.0,0.0,17.2117,0,0.0,0.0,119.411,3567.74,0.0,0.0,0.0,0.0,0.0,0.0
79,11.6567,55.7018,3519.18,2.90005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2310.77,1120.37,0,0.0,0.0,0.0,85.1411,0.0,0.0,0.0,0.0,0.0,0.0
80,12.1732,55.4465,10057.6,22.579,9240.65,0.0,0.0,0.0,56.1705,0.0,0.0,0.0,0.0,0.0,0.0,202.68,0.0,0.0,0.0,0,97.5279,90.6985,0.0,267.594,0.0,0.0,0.0,0.0,79.6965,0.0
81,11.5965,55.4554,2024.26,0.204431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1912.28,111.772,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,11.9875,54.9484,1581.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1459.91,122.066,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,10.4123,57.5925,12093.1,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,109.142,5356.06,0.0,5622.86,0.0,0.0,0.0,0.0,0.0,0.0
84,8.85353,56.7931,8212.97,0.0,0.0,183.168,0.0,0.0,0.0,0.0,0.0,53.414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1628.06,334.772,0.0,5803.86,0.0,209.703,0.0,0.0,0.0,0.0
85,11.6072,55.4552,2006.8,11.4033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982.25,13.1451,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,12.5732,55.6685,13249.6,5.58978,717.19,118.864,311.871,113.181,836.482,0.0,156.307,944.141,350.657,0.0,685.832,259.503,0.0,0.0,0.0,0,244.771,5462.22,0.0,424.982,158.063,0.0,0.0,2229.05,230.911,0.0
87,9.33313,54.8323,2410.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2201.88,110.508,0,0.0,98.1061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,9.56324,56.1868,5199.53,29.615,414.834,0.0,3501.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,741.46,40.324,211.447,10.0245,0,89.4561,50.3912,0.0,110.396,0.0,0.0,0.0,0.0,0.0,0.0
89,8.49555,55.1464,7467.97,33.8327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.2492,0.0,0.0,0.0,0.0,0,0.0,6086.21,0.0,1278.68,0.0,0.0,0.0,0.0,0.0,0.0
90,12.5931,55.7013,12941.9,0.0,2564.49,77.052,86.898,0.0,190.457,52.9323,0.0,0.0,373.936,0.0,0.0,256.637,0.0,0.0,3.81082,0,418.352,2414.29,118.095,390.368,354.294,0.0,0.0,5640.26,0.0,0.0
91,11.1382,54.829,9795.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2718,0.0,96.5588,0.0,0.0,0.0,0,686.859,4503.51,0.0,4384.46,0.0,0.0,0.0,0.0,51.3875,0.0
92,9.9585,57.588,8039.16,52.2559,1539.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,667.494,5114.43,0.0,665.967,0.0,0.0,0.0,0.0,0.0,0.0
93,9.7435,56.8413,2455.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1881.78,573.432,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,12.0003,54.9981,8781.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7500.0,0.0,0.0,0.0,0.0,1281.67,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,9.12764,55.7337,15747.6,0.0,143.378,0.0,0.0,0.0,2981.88,0.0,42.0285,0.0,0.0,0.0,5517.56,0.0,0.0,0.0,5.38357,0,78.2135,2629.71,0.0,71.3738,0.0,0.0,0.0,0.0,4278.04,0.0
96,10.189,55.3933,2979.37,144.985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2275.79,483.942,0,0.0,0.0,0.0,74.6516,0.0,0.0,0.0,0.0,0.0,0.0
97,9.6606,56.1778,108.952,0.0,0.0,0.0,0.0,0.0,108.952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,9.44927,56.4539,4987.81,2.74796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2195.51,0.0,0.0,0.0,0.0,0.0,0.0,0,357.191,0.0,0.0,2432.36,0.0,0.0,0.0,0.0,0.0,0.0
99,11.7995,55.4602,2837.56,7.05477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.339,3.92781,0,616.171,111.027,0.0,1671.04,0.0,0.0,0.0,0.0,0.0,0.0
100,9.46446,55.5264,8451.87,35.6654,0.0,0.0,0.0,0.0,0.0,0.0,3848.44,205.005,0.0,0.0,95.9128,96.3374,246.623,2548.53,146.523,0,50.1207,739.567,0.0,275.149,0.0,0.0,0.0,164.008,0.0,0.0
101,12.5867,56.026,9174.07,64.7025,1123.01,977.516,0.0,0.0,164.159,0.0,0.0,1034.0,2860.32,0.0,0.0,2404.27,0.0,0.0,0.0,0,159.485,156.735,0.0,172.533,0.0,57.3405,0.0,0.0,0.0,0.0
102,12.3714,55.818,10417.6,153.631,1596.18,96.9863,341.935,0.0,0.0,0.0,0.0,0.0,146.793,0.0,0.0,2923.63,0.0,290.661,147.545,0,772.091,183.901,135.141,193.27,0.0,0.0,0.0,3435.88,0.0,0.0
103,11.1418,54.8298,11328.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.267,0.0,68.0776,0.0,0.0,0.0,0,457.956,4159.27,0.0,6426.56,0.0,0.0,0.0,0.0,60.934,0.0
