,longitude,latitude,gravity,traffic,apartments,cinemas,clinics,colleges,communityCentres,conferenceCentres,dentists,eventsVenues,fastFoods,hospitals,hotels,leisureFitnessCentres,leisureStadiums,placesOfWorship,restaurants,shopMalls,shopSupermarkets,sportsCentres,sportsHalls,stadiums,substationMinorDistributions,theatres,universities,ratios_length,minCapacity,maxCapacity,slug,use,kommune
72,8.43581,55.473,31233.8,0.0,5105.45,0.0,4630.79,96.0136,25.6122,0.0,48.8552,0.0,0.0,0.0,0.0,3886.72,0.0,476.953,1464.5,0.0,15498.9,0.0,0.0,0.0,0.0,0,0,3,60.0,300.0,geye9q,3.36,Esbjerg
73,12.5687,56.0203,11772.8,297.959,449.12,0.0,0.0,0.0,13.1397,0.0,0.0,0.0,0.0,2532.26,0.0,61.6043,0.0,200.58,0.0,0.0,8050.52,0.0,167.658,0.0,0.0,0,0,6,300.0,300.0,rgj9z7,3.38,Helsingør
74,8.62004,56.3775,37042.3,217.713,665.516,0.0,502.055,0.0,0.0,0.0,0.0,0.0,20380.7,0.0,0.0,0.0,0.0,0.0,1610.78,142.406,13523.1,0.0,0.0,0.0,0.0,0,0,4,150.0,150.0,25zew9,3.42,Holstebro
75,9.11285,55.7293,35070.4,0.0,2045.77,0.0,0.0,0.0,0.0,0.0,47.1286,0.0,0.0,0.0,0.0,0.0,0.0,753.429,17584.5,0.0,14639.6,0.0,0.0,0.0,0.0,0,0,8,22.0,150.0,2ppqr7,3.53,Billund
76,12.4962,55.8895,9408.0,0.0,1497.78,1.1235,0.0,0.0,0.0,0.0,0.0,0.0,452.973,0.0,0.0,0.0,0.0,0.0,1404.8,214.238,3511.68,0.0,0.0,0.0,2325.39,0,0,2,300.0,300.0,dr8d96,3.54,Hørsholm
77,12.5606,55.7126,52069.0,33.5423,15498.4,0.0,0.0,67.7148,31.8033,0.0,139.07,0.0,635.82,142.999,0.0,939.518,0.0,836.24,2383.0,0.0,15590.9,404.011,61.9146,0.0,15304.1,0,0,2,240.0,240.0,7n95kg,3.59,København
78,9.10298,55.7352,4710.81,9.6472,3191.81,0.0,0.0,0.0,0.0,0.0,6.77111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,639.653,0.0,862.928,0.0,0.0,0.0,0.0,0,0,2,150.0,150.0,ypxj99,3.74,Billund
79,10.2539,55.0933,19469.9,81.3514,1005.66,0.0,963.218,0.0,0.0,0.0,0.0,0.777312,0.0,0.0,0.0,0.0,0.0,225.873,665.839,0.0,14031.9,0.0,0.0,0.0,2495.27,0,0,2,150.0,300.0,rpgqjd,3.77,Faaborg-Midtfyn
80,8.41757,56.7515,15232.7,5.37423,1146.71,0.0,0.0,0.0,0.0,0.0,140.84,0.0,0.0,0.0,291.095,0.0,0.0,348.44,0.0,0.0,13300.2,0.0,0.0,0.0,0.0,0,0,6,22.0,50.0,9k2pk3,3.77,Thisted
81,12.3766,55.7835,58541.1,85.8573,8649.45,15.7663,0.0,0.0,23.8664,0.0,37.8741,0.733532,0.0,0.0,0.0,64.2194,0.0,0.0,17507.1,171.59,16691.2,0.0,3125.43,0.0,12168.0,0,0,2,43.0,50.0,27y63,3.82,Furesø
82,9.54919,54.8911,13164.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26994,0.0,0.0,0.0,0.0,0.0,0.0,12887.5,0.0,274.861,0.0,0.0,0.0,0.0,0,0,6,22.0,50.0,9e62ez,3.92,Sønderborg
83,10.523,57.4177,935.779,0.0,284.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.775,0.0,0.0,216.833,347.387,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,150.0,150.0,yr7n75,4.11,Frederikshavn
84,12.0971,55.6261,18537.6,314.709,320.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1880.8,0.0,0.0,0.0,0.0,525.169,711.459,0.0,1415.0,0.0,0.0,0.0,13370.2,0,0,6,150.0,150.0,mwr3g9,4.14,Roskilde
85,11.133,54.8322,22280.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.8043,0.0,1602.47,0.0,10340.2,7399.82,0.0,2891.2,0.0,0.0,0.0,0.0,0,0,2,300.0,300.0,5njy29,4.2,Lolland
86,9.90437,57.0222,17333.7,0.0,13896.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.664,2370.61,0.0,435.657,0.0,0.0,0.0,0.0,0,0,6,150.0,150.0,qkq78g,4.3,Aalborg
87,8.44543,55.4657,38983.3,0.0,8194.7,2.43446,5752.76,0.0,260.732,0.0,19.5566,0.961334,1469.74,110.02,24.0681,3020.84,0.0,2392.05,16818.1,56.3649,861.069,0.0,0.0,0.0,0.0,0,0,1,50.0,50.0,7w9qj2,4.35,Esbjerg
88,11.7271,55.6978,8051.13,0.0,0.0,0.0,0.0,0.0,20.6074,0.0,0.0,13.7489,0.0,0.0,0.0,0.0,0.0,90.0642,0.0,0.0,7926.71,0.0,0.0,0.0,0.0,0,0,6,60.0,300.0,9eyjd9,4.43,Holbæk
89,10.6042,55.0587,39958.4,20.7574,15526.8,18.1911,0.0,296.358,872.736,0.0,27.1571,45.27,1810.1,458.886,0.0,381.57,0.0,1982.41,8811.64,574.336,3776.4,0.0,0.0,0.0,5355.73,0,0,3,22.0,75.0,x5ny52,4.43,Svendborg
90,12.557,55.6981,27989.4,29.6738,6978.33,2.31056,230.149,4864.92,85.9788,0.0,6.7063,1.70223,393.236,129.243,0.0,562.268,0.0,925.645,1593.34,0.0,4782.18,553.245,0.0,0.0,6850.52,0,0,1,50.0,50.0,reqyyp,4.52,København
91,10.1966,56.1729,14313.7,0.0,11717.9,0.0,0.0,0.0,28.13,0.0,2.40175,0.0,764.853,0.0,0.0,381.403,0.0,322.338,376.372,33.8778,686.437,0.0,0.0,0.0,0.0,0,0,4,225.0,225.0,ypp2yx,4.53,Århus
92,12.2146,55.5345,33025.8,170.832,14140.7,2.25728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.693,0.0,350.3,7428.62,0.0,10652.4,0.0,0.0,0.0,0.0,0,0,2,43.0,50.0,wqj7n9,4.54,Solrød
93,12.5747,55.7026,62119.9,23.3117,16327.1,27.9353,3705.51,50.0468,93.7515,0.0,14.7536,57.8787,3753.89,44.73,0.0,2229.24,5447.61,4770.36,6753.85,0.0,5237.03,2979.13,1964.49,0.0,8639.27,0,0,5,22.0,110.0,27y26,4.55,København
