longitude,latitude,gravity,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10,Score11,Score12,Score13,Score14,Score15,Score16,Score17,Score18,Score19,Score20,Score21,Score22,Score23,Score24,Score25,Score26,Score27
12.3714,55.818,18.2798,0,0.519587,0.000216154,0.383275,0,0,0,0,0,0.165169,0,0,0.332027,0,0.161018,0.0268168,9.27494,0.020837,0.00901512,0,0.0642968,0,0,0,7.32261,0,0
11.1418,54.8298,18.1925,0,0,0,0,0,0,0,0,0,0,0.0275205,0,0.00773135,0,0,0,15.7918,0.0123592,0.203894,0,2.13798,0,0,0,0,0.0112433,0
11.9592,55.0807,1.64747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39392,0.0317509,0,0.00120454,0.220597,0,0,0,0,0,0,0,0
10.1581,57.1543,2.29438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27739,0.138401,0.878583,0,0,0,0,0,0,0,0,0,0
9.46834,55.3601,13.4422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00604702,13.2143,0.00123308,0.220597,0,0,0,0,0,0,0,0
12.4962,55.8895,13.079,0,0.276023,9.17173e-005,0,0,0,0,0,0,0.188822,0,0,0,0,0,0.00512674,11.2307,0,0.0248388,0,0.32558,0,0,0,1.02773,0,0
10.6085,55.0601,22.6476,0,2.38102,0.00891484,0,0.0631622,1.11873,0,0.210074,0.0617252,0.401612,0.0494607,0,0.0401486,0,0,0,13.0088,0.139524,0.320025,0,0.772861,0,0,0,3.03408,1.03751,0
8.43581,55.473,16.458,0,0.868162,0,0.937838,0.0443854,0.169095,0,0.397813,0,0,0,0,0.312149,0,0,0,12.373,0.00573797,0.0238932,0,1.32591,0,0,0,0,0,0
12.5687,56.0203,14.0656,0,0.0831693,0,0,0,0.0944721,0,0,0,0,0.495199,0,0.00538796,0,0,0,12.4905,0.00262788,0,0,0.750016,0,0.14422,0,0,0,0
8.62004,56.3775,27.6602,0,0.114223,0,0.102625,0,0,0,0,0,8.49568,0,0,0,0,0,0.000833562,17.7526,0,0.0265247,0,1.16767,0,0,0,0,0,0
9.11285,55.7293,15.1832,0,0.355814,0,0,0,0,0,0.392512,0,0,0,0,0,0,0,0.000728377,12.8395,0.00927097,0.293436,0,1.28098,0,0,0,0,0.0109406,0
9.55807,55.6421,13.938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0437,0.00628141,12.8881,0,0,0,0,0,0,0,0,0,0
8.88761,57.0482,8.22016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.22016,0,0,0,0,0,0,0,0,0,0
12.4962,55.8895,13.079,0,0.276023,9.17173e-005,0,0,0,0,0,0,0.188822,0,0,0,0,0,0.00512674,11.2307,0,0.0248388,0,0.32558,0,0,0,1.02773,0,0
12.5606,55.7126,25.6839,0,2.87383,0,0,0.0341349,0.228963,0,1.23483,0,0.265041,0.0280012,0,0.0822795,0,2.96798,0.0370985,9.56185,0.0109704,0.0423952,0,1.45443,0.00316733,0.0533296,0,6.80563,0,0
9.10298,55.7352,3.23958,0,0.555142,0,0,0,0,0,0.0563933,0,0,0,0,0,0,0,0.00345396,2.52632,0,0.010674,0,0.075507,0,0,0,0,0.0120923,0
10.2539,55.0933,14.7554,0,0.179314,0,0.204547,0,0,0,0,0.0115321,0,0,0,0,0,0,0,12.0002,0.00284934,0.0113907,0,1.25871,0,0,0,1.06701,0.0197784,0
8.41757,56.7515,16.2519,0,0.20507,0,0,0,0,0,1.20607,0,0,0,0.0317989,0,0,0,0,13.608,0.00440851,0,0,1.19661,0,0,0,0,0,0
12.3766,55.7835,27.3877,0,1.61144,0.00130119,0,0,0.172635,0,0.337885,0.0113709,0,0,0,0.00565072,0,0,0.0150773,15.1523,0,0.312938,0,1.56444,0,2.7048,0,5.43666,0.0612488,0
12.2154,55.5457,23.7086,0,0.0723822,0.000235628,0,0,0,0,0,0,8.43884,0,0,0,0,5.56344,0.188451,9.44522,0,0,0,0,0,0,0,0,0,0
9.54919,54.8911,15.2309,0,0,0,0,0,0,0,0,0.0336959,0,0,0,0,0,0,0,14.952,0,0.220597,0,0.0246701,0,0,0,0,0,0
10.523,57.4177,11.8142,0,0.0502249,0,0,0,0,0,0,0,0,0,0.0093482,0,0,0,0,11.746,0.00270548,0.00587806,0,0,0,0,0,0,0,0
12.0971,55.6261,18.9058,0,0.0587221,0,0,0,0,0,0,0,0.784009,0,0,0,0,0.881713,0.0915491,11.0538,0.00681058,0.0125123,0,0.130489,0,0,0,5.87749,0.00874092,0
9.56305,55.6404,13.2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975587,0.00917028,12.2632,0,0,0,0,0,0,0,0,0,0
11.133,54.8322,10.8127,0,0,0,0,0,0,0,0,0,0,0.00891364,0,0.13649,0,0,0,10.1262,0.131931,0.128038,0,0.262315,0,0,0,0,0.0188491,0
9.90437,57.0222,12.2084,0,2.40424,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00640337,9.71276,0.00771929,0.0393497,0,0.0379188,0,0,0,0,0,0
8.44543,55.4657,23.1235,0,1.39348,0.00018338,1.16506,0,1.72139,0,0.159243,0.0136017,0.612659,0.0197564,0.00249999,0.242609,0,0,0,17.3128,0.0287775,0.274385,0,0.0736633,0,0,0,0,0.103371,0
11.8308,55.6397,4.3579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375367,0.0207031,3.95835,0,0.00347148,0,0,0,0,0,0,0,0
11.9571,55.1694,7.35624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.19172,0.011032,0.153486,0,0,0,0,0,0,0,0,0,0
11.7271,55.6978,12.0937,0,0,0,0,0,0.143769,0,0,0.205561,0,0,0,0,0,0,0,11.0266,0.00114497,0,0,0.716577,0,0,0,0,0,0
10.6042,55.0587,27.2148,0,2.82762,0.00146751,0,0.146722,6.17076,0,0.236822,0.685961,0.75454,0.0882495,0,0.0328189,0,0,0,13.3136,0.0255415,0.153962,0,0.345989,0,0,0,2.33907,0.0917468,0
10.002,56.4489,9.65831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29527,0.95781,2.40523,0,0,0,0,0,0,0,0,0,0
12.557,55.6981,22.5824,0,1.29398,0.000189791,0.0508264,2.4524,0.61899,0,0.0595468,0.0262629,0.16392,0.0253076,0,0.0492414,0,0,0.00193909,14.3024,0.0121433,0.0283466,0,0.446115,0.00433729,0,0,3.04639,0,0
10.1966,56.1729,19.8433,0,3.03759,0,0,0,0.283117,0,0.0298131,0,0.318829,0,0,0.0466955,0,0,0,15.9823,0.00591161,0.00936081,0,0.089521,0,0,0,0,0.0401954,0
12.2146,55.5345,11.6538,0,2.58226,0.000182598,0,0,0,0,0,0,0,0,0,0.0242087,0,0,0.0271924,7.90667,0.00452569,0.130153,0,0.978637,0,0,0,0,0,0
12.5747,55.7026,30.4513,0,3.0275,0.00229462,0.81833,0.0252285,0.674949,0,0.131001,0.892986,1.56481,0.00875878,0,0.195229,0.235279,0,0.00102536,16.5606,0.062581,0.120156,0,0.488547,0.0233556,1.69209,0,3.84183,0.0847076,0
9.99933,56.4495,16.7151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51007,0.95781,8.2472,0,0,0,0,0,0,0,0,0,0
9.50718,56.7976,14.601,0,0.0786879,0.000106598,0,0,0,0,0,0.0324737,0,0,0,0.011267,0.0113393,0,0,14.3989,0.00261956,0.00634594,0,0.0593117,0,0,0,0,0,0
8.7646,55.3304,16.5135,0,2.65629,0,0,0.0929174,0.446791,0,0,0.147331,0,0,0,0.00969899,0,0,0,12.3253,0.00994891,0.450283,0,0.335973,0.00169925,0,0,0,0.0372684,0
8.49311,55.4783,20.3102,0,1.01631,0,0,0.046314,1.72772,0,0.0181772,0,2.20188,0,0,0.0186603,0,0,0.00186647,9.03796,0.00224628,0.0045212,0,0.741778,0,0.164727,0,5.32805,0,0
10.5393,57.4441,18.8284,0,2.23402,0.00406889,0,0,0,0,0,0.082338,7.72052,0,0.00154489,0,0,0,0,8.54986,0.112812,0.0187189,0,0.0829594,0,0,0,0,0.0215477,0
9.96749,57.0204,4.49446,0,0.200784,0,0.0506993,0,0,0,0,0.0158829,0,0.00738411,0.00936365,0,0,0.882621,0.0605163,3.19132,0,0.075889,0,0,0,0,0,0,0,0
12.1624,55.4886,22.9647,0,0,0,0,0.333331,0,0,0,0,8.43884,0,0,0,0,9.007,0.347531,4.83799,0,0,0,0,0,0,0,0,0,0
11.7862,55.4533,23.7542,0,0,0.00711312,0,0,0,0.0165579,0,0,4.32881,0.030529,0,0.00950743,0,0.93252,0.00319502,17.541,0.00212219,0.164463,0,0.718321,0,0,0,0,0,0
8.6067,56.4804,12.2827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2661,0.00377299,0,0,0.0128163,0,0,0,0,0,0
